status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
discarded,Logical foundations of object-oriented and frame-based languages,Michael Kifer; Georg Lausen; James C. Wu,1995,Journal of the ACM,10.1145/210332.210335,https://openalex.org/W2084130127,adjacent-subtopic; formal-foundations,"We propose a novel formalism, calledFrame Logic(abbr., F-logic), that accounts in a clean and declarative fashion for most of the structural aspects of object-oriented and frame-based languages. These features include object identity, complex objects, inheritance, polymorphic types, query methods, encapsulation, and others. In a sense, F-logic stands in the same relationship to the object-oriented paradigm as classical predicate calculus stands to relational programming. F-logic has a model-theoretic semantics and a sound and complete resolution-based proof theory. A small number of fundamental concepts that come from object-oriented programming have direct representation in F-logic; other, secondary aspects of this paradigm are easily modeled as well. The paper also discusses semantic issues pertaining to programming with a deductive object-oriented language based on a subset of F-logic.",openalex,llm,0.910,unreviewed,
discarded,ECOOP'97 — Object-Oriented Programming,"AkÅit, Mehmet; Matsuoka, Satoshi",1997,Lecture notes in computer science,10.1007/bfb0053371,https://openalex.org/W2499711114,adjacent-subtopic; insufficient-abstract,,openalex,llm,0.610,unreviewed,
kept,Assuring good style for object-oriented programs,Karl Lieberherr; Ian M. Holland,1989,IEEE Software,10.1109/52.35588,https://openalex.org/W2050645799,supports-claim; law-of-demeter; information-hiding; modularity,"The language-independent Law of Demeter, which encodes the ideas of encapsulation and modularity in an easy-to-follow form for object-oriented programmers, is presented. The law was developed during the design and implementation of the Demeter system, which provides a high-level interface to class-based, object-oriented systems. Two forms of the law, the class and object forms, are described. Its motivation is to ensure that the software is as modular as possible. Principles covered by the law include coupling control, information hiding, information restriction, information localization, and structured induction. An example is given to show how the law is applied, and valid violations are identified. It is shown how to transform a method that does not satisfy the law into one that does.>",openalex,llm,0.990,unreviewed,
discarded,Object-oriented concurrent programming,Trevor P. Hopkins,1988,Science of Computer Programming,10.1016/0167-6423(88)90056-1,https://openalex.org/W2326423856,adjacent-subtopic; insufficient-abstract,,openalex,llm,0.580,unreviewed,
discarded,The object-oriented systems life cycle,Brian Henderson‐Sellers; Julian M. Edwards,1990,Communications of the ACM,10.1145/83880.84529,https://openalex.org/W2069752849,adjacent-subtopic; oo-lifecycle,"In software engineering, the traditional description of the software life cycle is based on an underlying model, commonly referred to as the “waterfall” model (e.g., [4]). This model initially attempts to discretize the identifiable activities within the software development process as a linear series of actions, each of which must be completed before the next is commenced. Further refinements to this model appreciate that such completion is seldom absolute and that iteration back to a previous stage is likely. Various authors' descriptions of this model relate to the detailed level at which the software building process is viewed. At the most general level, three phases to the life cycle are generally agreed upon: 1) analysis, 2) design and 3) construction/implementation (e.g., [36], p. 262; [42]) (Figure 1(a)). The analysis phase covers from the initiation of the project, through to users-needs analysis and feasibility study (cf. [15]); the design phase covers the various concepts of system design, broad design, logical design, detailed design, program design and physical design. Following from the design stage(s), the computer program is written, the program tested, in terms of verification, validation and sensitivity testing, and when found acceptable, put into use and then maintained well into the future. In the more detailed description of the life cycle a number of subdivisions are identified (Figure 1(b)). The number of these subdivisions varies between authors. In general, the problem is first defined and an analysis of the requirements of current and future users undertaken, usually by direct and indirect questioning and iterative discussion. Included in this stage should be a feasibility study. Following this a user requirements definition and a software requirements specification, (SRS) [15], are written. The users requirements definition is in the language of the users so that this can be agreed upon by both the software engineer and the software user. The software requirements specification is written in the language of the programmer and details the precise requirements of the system. These two stages comprise an answer to the question of WHAT? (viz. problem definition). The user-needs analysis stage and examination of the solution space are still within the overall phase of analysis but are beginning to move toward not only problem decomposition, but also highlighting concepts which are likely to be of use in the subsequent system design; thus beginning to answer the question HOW? On the other hand, Davis [15] notes that this division into “what” and “how” can be subject to individual perception, giving six different what/how interpretations of an example telephone system. At this requirements stage, however, the domain of interest is still very much that of the problem space. Not until we move from (real-world) systems analysis to (software) systems design do we move from the problem space to the solution space (Figure 2). It is important to observe the occurrence and location of this interface. As noted by Booth [6], this provides a useful framework in object-oriented analysis and design. The design stage is perhaps the most loosely defined since it is a phase of progressive decomposition toward more and more detail (e.g., [41]) and is essentially a creative, not a mechanistic, process [42]. Consequently, systems design may also be referred to as “broad design” and program design as “detailed design” [20]. Brookes et al. [9] refer to these phases as “logical design” and “physical design.” In the traditional life cycle these two design stages can become both blurred and iterative; but in the object-oriented life cycle the boundary becomes even more indistinct. The software life cycle, as described above, is frequently implemented based on a view of the world interpreted in terms of a functional decomposition; that is, the primary question addressed by the systems analysis and design is WHAT does the system do viz. what is its function? Functional design, and the functional decomposition techniques used to achieve this, is based on the interpretation of the problem space and its translation to solution space as an interdependent set of functions or procedures. The final system is seen as a set of procedures which, apparently secondarily, operate on data. Functional decomposition is also a top-down analysis and design methodology. Although the two are not synonymous, most of the recently published systems analysis and design methods exhibit both characteristics (e.g., [14, 17]) and some also add a real-time component (e.g., [44]). Top-down design does impose some discipline on the systems analyst and program designer; yet it can be criticized as being too restrictive to support contemporary software engineering designs. Meyer [29] summarizes the flaws in top-down system design as follows: 1. top-down design takes no account of evolutionary changes; 2. in top-down design, the system is characterized by a single function—a questionable concept; 3. top-down design is based on a functional mindset, and consequently the data structure aspect is often completely neglected; 4. top-down design does not encourage reusability. (See also discussion in [41], p. 352 et seq.)",openalex,llm,0.740,unreviewed,
kept,Fundamentals of object-oriented design in UML,Meilir Page-Jones,1999,Medical Entomology and Zoology,,https://openalex.org/W1591711427,supports-claim; textbook-like; history; parnas,"I. INTRODUCTION. 1. What does it mean to be object oriented, anyway? Encapsulation. Information / implementation hiding. State retention. Object identity. Messages. Message structure. Message arguments. The roles of objects in messages. Types of messages. Classes. Inheritance. Polymorphism. Genericity. 2. Object orientation--who ordered that? Where did object orientation come from? Larry Constantine. O.J. Dahl and K. Nygaard. Alan Kay, Adele Goldberg and others. Edsger Dijkstra. Barbara Liskov. David Parnas. Jean Ichbiah and others. Bjarne Stroustrup. Bertrand Meyer. 0 Grady Booch, Ivar Jacobson and Jim Rumbaugh. Object orientation in a social context. The history of the mainstream. To the barricades: the object-oriented revolutionaries. Forward to the past: the object-oriented reactionaries. Enter the evolutionists (stage middle). Object orientation as an engineering discipline. What's object orientation good for? Analyzing users' requirements. Designing software. Constructing software. Maintaining software. Using software. Managing software projects. II. UML NOTATION. 3. The basic notation for classes, attributes and operations. The class symbol. Notation for attributes. Notation for operations. Overloaded operations. Public, protected and private features. Class attributes and operations. Abstract classes and features. The utility. Parameterized classes. 4. Class diagrams. The generalization construct. Single inheritance. Multiple inheritance. Subclass partitioning. Partitioning discriminators. The association construct. The basic UML notation for associations. Associations depicted as classes. Higher-order associations. Navigability of associations. Whole / part associations. Composition. Aggregation. 5. Object-interaction diagrams. The collaboration diagram. Depicting a message. Polymorphism in the collaboration diagram. Iterated messages. Use of self in messages. The sequence diagram. Asynchronous messages and concurrent execution. Depicting an asynchronous message. The callback mechanism. Asynchronous messages with priority. Depicting a broadcast (non-targeted) message. 6. State diagrams. Basic state diagrams. Nested states. Concurrent states and synchronization. Transient states from message-result arguments. Continuously variable attributes. 7. Additional design diagrams. Depicting system architecture. Packages. Deployment diagrams for hardware components. Deployment diagrams for software components. Depicting the human interface. The window-layout diagram. The window-navigation diagram. A brief digression: what's object-oriented about a GUI? III. FUNDAMENTAL DESIGN PRINCIPLES. 8. Encapsulation and connascence. Encapsulation structure. Levels of encapsulation. Design criteria governing interacting levels of encapsulation. Connascence. Varieties of connascence. Contranascence. Connascence and encapsulation boundaries. Connascence and maintainability. Connascence abuses in object-oriented systems. 9. Domains, encumbrance and cohesion. Domains of object classes. The foundation domain. The architectural domain. The business domain. The application domain. The source of classes in each domain. Encumbrance. Definition of encumbrance. The use of encumbrance. The Law of Demeter. Class cohesion: a class and its features. Mixed-instance cohesion. Mixed-domain cohesion. Mixed-role cohesion. 10. State space and behavior. State-space and behavior of a class. The state-space of a subclass. The behavior of a subclass. The class invariant as a restriction on a state-space. Preconditions and postconditions. 11. Principles of robust class hierarchies. The principle of type conformance. Subclasses as subtypes. Conformance: the principles of contravariance and covariance. An example of contravariance and covariance. A graphic illustration of contravariance and covariance. A summary of the requirements for type conformance. The principle of closed behavior. 12. The perils of inheritance and polymorphism. Abuses of inheritance. Mistaken aggregates. Inverted hierarchy. Confusing class and instance. Misapplying is a. The danger of polymorphism. Polymorphism of operations. Polymorphism of variables. Polymorphism in messages. Polymorphism and genericity. 13. Organizing features. Mix-in classes. A business example. A graphics example. Rings of operations. 14. Quality of a class interface. State support in a class interface. Behavior support in a class interface. Operation cohesion in a class interface. 15. Development of an object-oriented component. Appendices. Appendix A Checklist for an object-oriented design walkthrough. Appendix B The object-oriented design owner's manual. Bibliography. Glossary. Index. 020169946XT04062001",openalex,llm,0.980,unreviewed,
discarded,Object-oriented Web application development,Hans Gellersen; Martin Gaedke,1999,IEEE Internet Computing,10.1109/4236.747323,https://openalex.org/W2011837843,adjacent-subtopic; application-paper; mentions-encapsulation,"Most Web applications are still developed ad hoc. One reason is the gap between established software design concepts and the low-level Web implementation model. We summarize work on WebComposition, a model for Web application development, then introduce the WebComposition Markup Language, an XML-based language that implements the model. WCML embodies object-oriented principles such as modularity, abstraction and encapsulation.",openalex,llm,0.870,unreviewed,
discarded,Design Patterns Explained: A New Perspective on Object-Oriented Design,Alan Shalloway; James R. Trott,2001,,,https://openalex.org/W1509829056,adjacent-subtopic; book; general-oop,Preface. From Object Orientation to Patterns to True Object Orientation. From Artificial Intellegence to Patterns to True Object Orientation. I. AN INTRODUCTION TO OBJECT-ORIENTED SOFTWARE DEVELOPMENT. 1. The Object-Oriented Paradigm. Before The Object-Oriented Paradigm: Functional Decomposition. The Problem of Requirements. Dealing With Changes: With Functional Decomposition. Dealing with Changing RequirementS. The Object-Oriented Paradigm. Special Object Methods. Summary. 2. The UML - The Unified Modeling Language. Overview. What is the UML? Why Use the UML? The Class Diagram. Interaction Diagrams. Summary. II. THE LIMITATIONS OF TRADITIONAL OBJECT-ORIENTED DESIGN. 3. A Problem that Cries Out for Flexible Code. Overview. Extracting Information from a CAD/CAM System. Understand the Vocabulary. Describe the Problem. The Essential Challenges and Approaches. Summary. 4. A Standard Object-Oriented Solution. Overview. Solving With Special Cases. Summary. Supplement: C++ Code Examples. III. DESIGN PATTERNS. 5. An Introduction to Design Patterns. Overview. Design Patterns Arose from Architecture and Anthropology. Moving from Architectural to Software Design Patterns. Why Study Design Patterns. Other Advantages to Studying Design Patterns. Summary. 6. The Facade Pattern. Overview. Introducing the Facade Pattern. Learning the Facade Pattern. Field Notes: The Facade Pattern. Relating the Facade Pattern to the CAD/CAM Problem. Summary. 7. The Adapter Pattern. Overview. Introducing the Adapter Pattern. Learning the Adapter Pattern. Field Notes: The Adapter Pattern. Relating the Adapter Pattern to the CAD/CAM Problem. Summary. Supplement: C++ Code Examples 8. Expanding Our Horizons. Overview. Objects the Old Way and the New Way. Encapsulation the Old Way and the New Way. Find What is Varying and Encapsulate It. Commonality / Variability and Abstract Classes. Summary. 9. The Bridge Pattern. Overview. Introducing the Bridge Pattern. An Observation about Using Design Patterns. Learning the Bridge Pattern: An Example. The Bridge Pattern In Retrospect. Field Notes: Using the Bridge Pattern. Summary. 10. The Abstract Factory Pattern. Overview. Introducing the Abstract Factory Pattern. Learning the Abstract Factory Pattern: An Example. Learning the Abstract Factory: Implementing It. Field Notes: The Abstract Factory. Relating the Abstract Factory Pattern to the CAD/CAM Problem. Summary. Supplement: C++ Code Examples. IV. PUTTING IT ALL TOGETHER: THINKING IN PATTERNS. 11. How Do Experts Design? Section Overview. Overview. Building by Adding Distinctions. Summary. 12. Solving the CAD/CAM Problem with Patterns. Overview. Review of the CAD/CAM Problem. Thinking in Patterns. Thinking in Patterns: Step 1. Thinking in Patterns: Step 2A. Thinking in Patterns: Step 2B. Thinking in Patterns: Step 2D (Facade). Thinking in Patterns: Step 2D (Adapter). Thinking in Patterns: Step 2D (Abstract Factory). Thinking in Patterns: Step 3. Comparison with the Previous Solution. Summary. 13. The Principles and Strategies of Design Patterns. Overview. The Open-Closed Principle. The Principle of Designing from Context. The Principle of Containing Variation. Summary. V. HANDLING VARIATIONS WITH DESIGN PATTERNS. 14. The Strategy Pattern. Overview. An Approach to Handling New Requirements. Initial Requirements of the Case Study. Handling New Requirements. The Strategy Pattern. Field Notes: Using the Strategy Pattern. Summary. 15. The Decorator Pattern. Overview. A Little More Detail. The Decorator Pattern. Applying the Decorator Pattern to the Case Study. Another Example: Input / Output. Field Notes: Using the Decorator Pattern. Summary. Supplement: C++ Code Examples. 16. The Singleton Pattern and the Double-Checked Locking Pattern. Overview . Introducing the Singleton Pattern. Applying the Singleton Pattern to the Case Study. A Variant: The Double-Checked Locking Pattern. Field Notes: Using the Singleton and Double-Checked Locking Patterns. Summary. Supplement: C++ Code Examples. 17. The Observer Pattern. Overview. Categories of Patterns. More Requirements for the Case Study. The Observer Pattern. Applying the Observer to the Case Study. Field Notes: Using the Observer Pattern. Summary. Supplement : C++ Code Examples. 18. The Template Method Pattern. Overview. More Requirements for the Case Study. The Template Method Pattern. Applying the Template Method to the Case Study. Field Notes: Using the Template Method Pattern. Summary. 19. The Factory Method Pattern. Overview. More Requirements for the Case Study. The Factory Method Pattern. Field Notes: Using the Factory Method Pattern. Summary. 20. The Analysis Matrix. Overview. In the Real World: Variations. Case Study in Variation: An International E-Tail System. Field Notes. Summary. VI. ENDINGS AND BEGINNINGS. 21. Design Patterns Reviewed From Our New Perspective of Object-Oriented Design. Overview. A Summary of Object-Oriented Principles. How Design Patterns Encapsulate Implementations. Commonality / Variability Analysis and Design Patterns. Decomposing a Problem Domain Into Responsibilities. Relationships Within a Pattern. Patterns and Contextual Design. Field Notes. Summary. 22. Bibliography. Design Patterns Explained: The Web Site Companion. Recommended Reading on Design Patterns and Object Orientation. Recommended Reading for Java Programmers. Recommended Reading for C++ Programmers. Recommended Reading for Cobol Programmers. Recommended Reading on eXtreme Programming. Recommended Reading on General Programming. Personal Favorites. Index.,openalex,llm,0.730,unreviewed,
discarded,Actors: A Model of Concurrent Computation in Distributed Systems,Gul Agha,1986,DSpace@MIT (Massachusetts Institute of Technology),,https://openalex.org/W2072794470,adjacent-subtopic; actor-model,"A foundational model of concurrency is developed in this thesis. It examines issues in the design of parallel systems and show why the actor model is suitable for exploiting large-scale parallelism. Concurrency in actors is constrained only by the availability of hardware resources and by the logical dependence inherent in the computation. Unlike dataflow and functional programming, however, actors are dynamically reconfigurable and can model shared resources with changing local state. Concurrency is spawned in actors using asynchronous message-passing, pipelining, and the dynamic creation of actors. The author defines an abstract actor machine and provide a minimal programming language for it. A more expressive language, which includes higher level constructs such as delayed and eager evaluation, can be defined in terms of the primitives. Examples are given to illustrate the ease with which concurrent data and control structures can be programmed. This thesis deals with some central issues in distributed computing. Specifically, problems of divergence and deadlock are addressed. Additional keywords: Object oriented programming; Semantics.",openalex,llm,0.860,unreviewed,
discarded,Spatial query processing in an object-oriented database system,Jack Orenstein,1986,,10.1145/16894.16886,https://openalex.org/W4236783998,adjacent-subtopic; oodb,"DBMSs must offer spatial query processing capabilities to meet the needs of applications such as cartography, geographic information processing and CAD. Many data structures and algorithms that process grid representations of spatial data have appeared in the literature. We unify much of this work by identifying common principles and distilling them into a small set of constructs. (Published data structures and algorithms can be derived as special cases.) We show how these constructs can be supported with only minor modifications to current DBMS implementations. The ideas are demonstrated in the context of the range query problem. Analytical and experimental evidence indicates that performance of the derived solution is very good (e.g., comparable to performance of the kd tree.)",openalex,llm,0.880,unreviewed,
