status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
kept,Productive Failure in Learning Math,Manu Kapur,2014,Cognitive Science,10.1111/cogs.12107,https://openalex.org/W2143991504,supports-claim; supports_claim; productive_failure; math; conceptual_understanding; transfer; pf_core,"When learning a new math concept, should learners be first taught the concept and its associated procedures and then solve problems, or solve problems first even if it leads to failure and then be taught the concept and the procedures? Two randomized-controlled studies found that both methods lead to high levels of procedural knowledge. However, students who engaged in problem solving before being taught demonstrated significantly greater conceptual understanding and ability to transfer to novel problems than those who were taught first. The second study further showed that when given an opportunity to learn from the failed problem-solving attempts of their peers, students outperformed those who were taught first, but not those who engaged in problem solving first. Process findings showed that the number of student-generated solutions significantly predicted learning outcomes. These results challenge the conventional practice of direct instruction to teach new math concepts and procedures, and propose the possibility of learning from one's own failed problem-solving attempts or those of others before receiving instruction as alternatives for better math learning.",openalex,llm_reviewed,0.990,confirmed,
kept,Productive failure in CSCL groups,Manu Kapur; Charles K. Kinzer,2008,International Journal of Computer-Supported Collaborative Learning,10.1007/s11412-008-9059-z,https://openalex.org/W2058943716,adjacent-subtopic; productive_failure; cscl; likely_empirical; no_abstract; adjacent_subtopic,,openalex,llm_reviewed,0.680,confirmed,
kept,"How to Flip the Classroom - ""Productive Failure or Traditional Flipped Classroom"" Pedagogical Design?",Yanjie Song; Manu Kapur,2017,Repository for Publications and Research Data (ETH Zurich),10.3929/ethz-b-000128354,https://openalex.org/W2584332892,adjacent-subtopic; productive_failure; flipped_classroom; sequence_comparison; no_abstract; adjacent_subtopic,ISSN:1436-4522,openalex,llm_reviewed,0.630,confirmed,
kept,Evaluating metacognitive scaffolding in Guided Invention Activities,Ido Roll; N. G. Holmes; James Day; D. A. Bonn,2012,Instructional Science,10.1007/s11251-012-9208-7,https://openalex.org/W2136266831,adjacent-subtopic; guided_invention; scaffolding; preparation_for_future_learning,,openalex,llm,0.720,unreviewed,
kept,Students’ Collaboration Patterns in a Productive Failure Setting: An Epistemic Network Analysis of Contrasting Cases,Valentina Nachtigall; Hanall Sung,2019,Communications in computer and information science,10.1007/978-3-030-33232-7_14,https://openalex.org/W2979759595,adjacent-subtopic; productive_failure; collaboration_process; process_analysis,,openalex,llm,0.740,unreviewed,
kept,Unpacking the hidden efficacies of learning in productive failure,David Hung; Victor Chen; Seo Hong Lim,2009,Learning Inquiry,10.1007/s11519-008-0037-1,https://openalex.org/W2080635001,adjacent-subtopic; productive_failure; mechanisms; learning_from_failure,,openalex,llm,0.710,unreviewed,
discarded,Cognitive Apprenticeship,Alan Collins; Manu Kapur,2022,Cambridge University Press eBooks,10.1017/9781108888295.010,https://openalex.org/W4220683022,adjacent-subtopic; adjacent_theory; book_chapter; not_direct_comparison,"This chapter reviews how people learn during apprenticeships , ways of guiding beginners while they engage in authentic situated activity with more experienced people. Apprenticeship practices are found throughout the world both in cultures with formal schooling and in those without. Traditional apprenticeship practices tend to focus on physical and visible activities, but most schooling is directed toward conceptual learning outcomes which are usually not physical and visible – like formulas in mathematics or theories in physics. This chapter extends apprenticeship research to cognitive apprenticeship , and describes apprenticeships that are designed to lead to abstract or conceptual knowledge. These involve scaffolding, metacognitive reflection, problem-based learning, and situated social practices. Effective apprenticeship often involves productive failure , when learners initially develop potential solutions that are wrong but that can be productively guided toward conceptually correct answers.",openalex,llm,0.950,unreviewed,
discarded,The Self-Regulation-View in Writing-to-Learn: Using Journal Writing to Optimize Cognitive Load in Self-Regulated Learning,Matthias Nückles; Julian Roelle; Inga Glogger‐Frey; Julia Waldeyer; Alexander Renkl,2020,Educational Psychology Review,10.1007/s10648-020-09541-1,https://openalex.org/W3044862824,adjacent-subtopic; adjacent_theory; writing_to_learn; not_ps_i,"Abstract We propose the self-regulation view in writing-to-learn as a promising theoretical perspective that draws on models of self-regulated learning theory and cognitive load theory. According to this theoretical perspective, writing has the potential to scaffold self-regulated learning due to the cognitive offloading written text generally offers as an external representation and memory aid, and due to the offloading, that specifically results from the genre-free principle in journal writing. However, to enable learners to optimally exploit this learning opportunity, the journal writing needs to be instructionally supported. Accordingly, we have set up a research program—the Freiburg Self-Regulated-Journal-Writing Approach—in which we developed and tested different instructional support methods to foster learning outcomes by optimizing cognitive load during self-regulated learning by journal writing. We will highlight the main insights of our research program which are synthesized from 16 experimental and 4 correlative studies published in 16 original papers. Accordingly, we present results on (1) the effects of prompting germane processing in journal writing, (2) the effects of providing worked examples and metacognitive information to support students in effectively exploiting prompted journal writing for self-regulated learning, (3) the effects of adapting and fading guidance in line with learners’ expertise in self-regulated learning, and (4) the effects of journal writing on learning motivation and motivation to write. The article closes with a discussion of several avenues of how the Freiburg Self-Regulated-Journal-Writing Approach can be developed further to advance research that integrates self-regulated learning with cognitive load theory.",openalex,llm,0.990,unreviewed,
discarded,"Dynamic Software, Task Solving With or Without Guidelines, and Learning Outcomes",Jan Olsson; Carina Granberg,2018,Technology Knowledge and Learning,10.1007/s10758-018-9352-5,https://openalex.org/W2783566816,adjacent-subtopic; adjacent_guidance; no_instruction_sequence_comparison,"The present study contributes to knowledge about how to design tasks that benefit from dynamic software in math education, comparing practice performance and learning outcomes among 129 students practicing on two different task designs using GeoGebra. The task designs differed with respect to the presence or absence of guidelines on how to solve the task. One student group practiced on the guided task while the other student group practiced on the unguided task, and 1 week later a posttest was conducted. Data were statistically analyzed and showed significant differences with regard to success during practice for students solving the guided task. Among the students who succeeded in solving the task (guided or unguided) during practice, however, the analysis showed significant differences in the posttest performance in favor of the unguided students.",openalex,llm,0.920,unreviewed,
kept,Investigating Productive Failure in Computer Science,Phil Steinhorst,2022,,10.1145/3501709.3544300,https://openalex.org/W4291475990,adjacent-subtopic; productive_failure; computer_science; dissertation_project,"Productive Failure is an instructional setting where learners are confronted with a problem-solving task prior to recieving an introduction to canonical solution methods. This approach has its roots in secondary school mathematics education and has been studied widely in this field. To the best of our knowledge, however, little if anything is known about its feasibility and efficacy in computer science at a tertiary level. In my PhD project, I work towards reducing this gap by comparing the outcome of Productive Failure settings with those of Direct Instruction approaches where students are introduced to required methods first. Is it possible to design educational settings in computer science that elicit the positive effects of Productive Failure on students’ learning? By designing interventions that allow for collecting and analyzing of both qualitative and quantitative data, I hope to find answers to this question and its corrolaries.",openalex,llm,0.830,unreviewed,
discarded,Postmortem of a Civic Engagement Trainwreck: Productive Failure and Experiential Learning,"Price, J. Ricky",2026,JOURNAL OF POLITICAL SCIENCE EDUCATION,10.1080/15512169.2026.2686299,https://www.webofscience.com/wos/woscc/full-record/WOS:001792251500001,adjacent-subtopic; adjacent_learning_from_failure; experiential_learning; not_ps_i,"What happens when civic engagement partnerships fail? What do students learn when the outcomes and desired partnership never come to fruition? This paper explores the failures experienced by students in a 2023 Civic Engaged Learning (CEL) course that collaborated with the local Board of Elections (BOE). Despite designing the course with the best practices of CEL pedagogy, the collaboration was fraught at every point. A year after the course, I interviewed students, and through these conversations, a picture of productive failure emerged: while there were pedagogical consequences to the failures in design and collaboration, the students reflected that these conditions, in some cases, enhanced their learning, while for others the failed experiment merely confirmed their views that the 2020 election was stolen. This analysis suggests CEL course design should incorporate risk and failure when engaging with community partners in civic work and include risk and failure when evaluating student learning.",wos,llm,0.960,unreviewed,
kept,"Fail, flip, fix, feed: impact on engagement and learning outcomes","Conrardy, Richard; Spannagel, Christian; Stocker, Sabou Rani",2026,FRONTIERS IN EDUCATION,10.3389/feduc.2026.1743287,https://www.webofscience.com/wos/woscc/full-record/WOS:001771621600001,qualifies-claim; productive_failure; null_or_equivalent_results; flipped_classroom; qualifies_claim,"Background Flipped classrooms and productive failure foster active learning by reversing the traditional sequence of instruction and problem-solving. Despite strong evidence for each approach in secondary mathematics, their combined implementation remains untested.Aims Building on a previous framework (fail, flip, fix, feed), this study evaluates two variants that differ in whether collaboration occurred during problem solving or instruction, assessing their effects on learning and engagement.Sample The sample consisted of 221 students (ages 12-16) from 12 secondary school classes in Switzerland.Methods The study is based on a randomized control group design with two performance and four engagement measurements. Both test batteries are commonly used in productive failure research.Results Learning outcomes were statistically equivalent across both conditions after the first two phases (TOST; equivalence bounds +/- 0.5 SD). After the full intervention, three-sided equivalence testing yielded inconclusive results, with no reliable performance differences between conditions. Engagement levels did not differ between conditions activities, p = .449. Engagement predicted performance on both posttests, accounting for up to 18% of the variance: beta = 0.760, p = .003 on Day 1, and beta = 0.860, p = .001 on Day 2. Mental effort showed no reliable effect on performance: beta std. = -0.039, p = .782.Conclusions The findings highlight the need for learning designs that foster student self-reported engagement. However, contrary to the original goals of flipped classroom approaches, the presence and guidance of the teacher did not result in higher student engagement compared to independent study time. The results further suggest that short-term outcomes in 4F-type designs may not be strongly determined by the phase placement of collaboration alone.",wos,llm,0.950,unreviewed,
discarded,Embracing uncertainty in pharmacy student clinical reasoning: A simulation-based approach,"Charrois, Theresa L.; Steenhof, Naomi",2026,CURRENTS IN PHARMACY TEACHING AND LEARNING,10.1016/j.cptl.2026.102586,https://www.webofscience.com/wos/woscc/full-record/WOS:001677032500001,adjacent-subtopic; adjacent_simulation; reflection; not_ps_i,"Objective: To explore whether simulation-based exposure to ambiguous patient simulations, combined with structured reflection, supports pharmacy students' clinical reasoning and ability to manage uncertainty. Method: Third-year PharmD students at two Canadian universities completed a two simulations over two weeks. Week 1 involved shared decision making with a standardized patient presenting with depression; Week 2 introduced an unexpected adverse outcome. Students completed structured reflections using a modified Student-Generated Reasoning Tool (SGRT) after Simulation 1, and a guided reflection after Simulation 2. Data were analyzed descriptively and through inductive thematic analysis. Results: A total of 259 students from two institutions engaged in the educational activity. After Simulation 1, most students reported being ""more likely to change the medication"" if they received new findings, making them less certain with their initial medication choice. After Simulation 2, with an unexpected outcome, students felt the most uncomfortable learning about the adverse reaction the patient experienced. The most common reason students felt comfortable after Simulation 2, was trusting in their clinical reasoning process. Conclusion: Structured exposure to uncertainty reinforced that sound clinical reasoning can coexist with unpredictable outcomes. When discomfort arose, students were able to rationalize why their initial clinical reasoning and decision-making remained valid, reinforcing the concept that uncertainty and negative outcomes do not necessarily indicate flawed decision making.",wos,llm,0.920,unreviewed,
discarded,Deconstructing Conceptions of Rigor in Computer Science Education,"Everson, Jayne; Kivuva, F. Megumi; Sherif, Eman; Oleson, Alannah; Ko, Amy J.",2026,ACM TRANSACTIONS ON COMPUTING EDUCATION,10.1145/3776542,https://www.webofscience.com/wos/woscc/full-record/WOS:001676179200001,adjacent-subtopic; adjacent_perceptions; productive_failure_mentioned_only; not_intervention_comparison,"Objectives: In calls for excellent and equitable Computer Science (CS) education, the word rigor often appears, but it often goes undefined. The goal of this work is to understand how CS teachers, instructors, and students conceive of rigor. Research Questions: (1) What do CS instructors think rigor is? and (2) What do students think rigor is? Methods: Using the principles of phenomenological research, we conducted a semi-structured interview study with 10 post-secondary CS students, 10 secondary CS teachers, and 9 post-secondary CS instructors, to understand their conceptions of rigor. Results: Analysis showed that no participants had the same understanding of rigor. We found that participants had abstract Principles of Rigor which included: Precision, Systematic Thought Process, Depth of Understanding, and Challenge. They also had concrete Observations of Rigor that included Time and Effort, Intrinsic Drive, Productive Failure, Struggle, Outcomes, and Gatekeeping. Participants also shared Conditions for Rigor which included Expectations, Standards, Community Support, and Resources. Implications: Our data support prior work that educators are using different definitions of rigor. This implies that each educator holds different expectations for students, without necessarily communicating these expectations to their students. In the best case, this might confuse students; in the worst case, it reinforces hegemonic norms which can lead to gatekeeping which prevents students from fully participating in the CS field. Based on these insights, we argue that to commit to the idea of quality CS learning, the community must discard the use of this concept of rigor to justify student learning and re-imagine alternate benchmarks.",wos,llm,0.900,unreviewed,
